company,category,category_source
Astellas Pharma Australia Pty Ltd,"Healthcare, Medical & Pharmaceutical",inferred
ASTRAZENECA PTY LTD,"Healthcare, Medical & Pharmaceutical",original
ASTUTE FINANCIAL MANAGEMENT PTY. LTD.,Banking & Financial Services,original
ASX Limited,Banking & Financial Services,inferred
AT Kearney Australia Pty Ltd,"Consulting, Accounting & Professional Services",inferred
AT&T GLOBAL NETWORK SERVICES AUSTRALIA PTY LTD,Information Technology & Software,original
ATC WILLIAMS PTY LTD,Engineering & Construction,inferred
ATCO Gas Australia Pty Ltd,"Mining, Resources & Energy",original
Athena Home Loans Pty Ltd,Banking & Financial Services,inferred
ATKINSREALIS AUSTRALIA PTY LTD,Engineering & Construction,inferred
ATLANTIC (AUST) PTY LTD,Unknown / To Check,unresolved
Atlantic Pacific Securities Pty Ltd,Banking & Financial Services,original
Atlas Copco Australia Pty Ltd,Manufacturing & Industrial,inferred
ATLASSIAN PTY LTD,Information Technology & Software,original
ATOMIC SEARCH PTY LTD,"Recruitment, HR & Labour Hire",inferred
ATOMOS AU PTY LTD,Manufacturing & Industrial,inferred
ATOS (AUSTRALIA) PTY LTD,Information Technology & Software,inferred
ATRADIUS CREDITO Y CAUCION S.A. DE SEGUROS Y REASEGUROS,Insurance,inferred
Attorney Generals Department,Government & Public Sector,inferred
ATTUNE HEARING PTY LTD,"Healthcare, Medical & Pharmaceutical",inferred
Auburn High School,Education - Schools & Training,original
Audi Australia Retail Operations Pty Ltd,Automotive,original
AUDIKA AUSTRALIA PTY LTD,Automotive,original
Audinate Pty Limited,Automotive,original
Aurecon Australasia Pty Ltd,Engineering & Construction,inferred
AURORA DAIRIES PTY LTD,"Agriculture, Food & Beverage",inferred
Aurora Healthcare Pty Ltd,"Healthcare, Medical & Pharmaceutical",original
AURRUM PTY. LIMITED,"Aged Care, Disability & Social Services",inferred
AUSCYCLING LIMITED,"Religious, Charitable & Non-profit",inferred
AUSNET TRANSMISSION GROUP PTY LTD,"Mining, Resources & Energy",inferred
Auspat Land Survey Pty Ltd,Engineering & Construction,inferred
Ausreo Pty Limited,Manufacturing & Industrial,inferred
Aussie Broadband Ltd,Telecommunications,original
Austal Ships Pty Ltd,Defence & Aerospace,inferred
AUSTERE PLANT HIRE PTY LTD,Manufacturing & Industrial,original
AUSTIN HEALTH,"Healthcare, Medical & Pharmaceutical",original
AUSTRAL CONSTRUCTION PTY. LTD.,Engineering & Construction,original
AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,Banking & Financial Services,original
Australian Accounting Standards Board,"Consulting, Accounting & Professional Services",original
AUSTRALIAN AUTOMOTIVE GROUP PTY LIMITED,Automotive,inferred
AUSTRALIAN BEARINGS CORPORATION PTY LTD,Manufacturing & Industrial,inferred
AUSTRALIAN BROADCASTING CORPORATION- SYDNEY,"Media, Entertainment & Creative",inferred
Australian Catholic University Limited,Education - Universities & Higher Ed,original
AUSTRALIAN CENTRE FOR ADVANCED COMPUTING AND COMMUNICATION PTY LTD,Information Technology & Software,original
AUSTRALIAN CHAMBER ORCHESTRA PTY LTD,"Media, Entertainment & Creative",inferred
Australian Christian College Southlands Ltd,Education - Schools & Training,original
Australian Country Choice Production Pty Ltd,"Media, Entertainment & Creative",original
AUSTRALIAN ENERGY MARKET OPERATOR LIMITED,"Mining, Resources & Energy",original
Australian Ethical Investment Ltd,Banking & Financial Services,original
AUSTRALIAN FLUID HANDLING PTY LTD,Manufacturing & Industrial,inferred
AUSTRALIAN GRAND PRIX,"Media, Entertainment & Creative",inferred
Australian Health Practitioner Regulation Agency,"Healthcare, Medical & Pharmaceutical",original
AUSTRALIAN HEARING SERVICES,"Healthcare, Medical & Pharmaceutical",inferred
Australian Institute of Plastic Surgery,"Healthcare, Medical & Pharmaceutical",inferred
AUSTRALIAN INTERNATIONAL ISLAMIC COLLEGE LTD,Education - Schools & Training,original
AUSTRALIAN ISLAMIC COLLEGE PERTH INC,Education - Schools & Training,original
AUSTRALIAN LABORATORY SERVICES PTY LTD,"Consulting, Accounting & Professional Services",inferred
AUSTRALIAN LEISURE AND HOSPITALITY GROUP PTY LIMITED,"Hospitality, Travel & Tourism",original
Australian Maritime Safety Authority,Government & Public Sector,original
Australian National University,Education - Universities & Higher Ed,original
AUSTRALIAN NUCLEAR SCIENCE AND TECHNOLOGY ORGANISATION,Government & Public Sector,inferred
Australian Offshore Solutions Pty Ltd,"Mining, Resources & Energy",inferred
AUSTRALIAN PESTICIDES AND VETERINARY MEDICINES AUTHORITY,"Healthcare, Medical & Pharmaceutical",original
AUSTRALIAN PHARMACEUTICAL INDUSTRIES PTY LTD,Manufacturing & Industrial,original
Australian Postal Corporation,Transport & Logistics,inferred
Australian Prudential Regulation Authority,Government & Public Sector,original
AUSTRALIAN RADIATION PROTECTION AND NUCLEAR SAFETY AGENCY (ARPANSA),Government & Public Sector,inferred
Australian Radio Network Pty Limited,Information Technology & Software,original
Australian Rail Track Corporation (ARTC),Transport & Logistics,original
Australian Red Cross Society,"Religious, Charitable & Non-profit",inferred
AUSTRALIAN REGIONAL AND REMOTE COMMUNITY SERVICES LIMITED,"Religious, Charitable & Non-profit",original
AUSTRALIAN STRATEGIC POLICY INSTITUTE LIMITED,"Religious, Charitable & Non-profit",inferred
Australian Strategy Partners Pty Ltd,"Consulting, Accounting & Professional Services",inferred
AUSTRALIAN TIMKEN PTY LTD,Manufacturing & Industrial,inferred
Australian Turf Club Limited,"Media, Entertainment & Creative",inferred
Australian Unity Limited,Insurance,inferred
AUSTRALIAN VINTAGE LTD,"Agriculture, Food & Beverage",inferred
Australian Wildflowers Pty Ltd,"Agriculture, Food & Beverage",inferred
Australian Wool Innovation Limited,"Agriculture, Food & Beverage",original
AustralianSuper Pty Ltd,Banking & Financial Services,inferred
Auswide Bank Ltd,Banking & Financial Services,original
AUTISM ASSOCIATION OF WESTERN AUSTRALIA INC,"Aged Care, Disability & Social Services",inferred
Autism Partnership Pty Ltd,"Aged Care, Disability & Social Services",inferred
AUTO & GENERAL HOLDINGS PTY LTD,Insurance,inferred
Autodesk Australia Pty Ltd,Information Technology & Software,inferred
AUTOMATIC DATA PROCESSING LIMITED,Information Technology & Software,original
Autopact Victoria Pty Ltd,Automotive,inferred
AUTOSPORTS ADMINISTRATION PTY LTD,Automotive,inferred
Autosports Leichhardt Pty Ltd,Automotive,inferred
AVANADE AUSTRALIA PTY LIMITED,Information Technology & Software,inferred
Avance Clinical Pty Ltd,"Healthcare, Medical & Pharmaceutical",original
AVAYA AUSTRALIA PTY LTD,Telecommunications,inferred
AVE-VA SOFTWARE AUSTRALIA PTY LTD,Information Technology & Software,original
AVEPOINT AU PTY LTD,Information Technology & Software,inferred
Aviat Global Pty Ltd,Telecommunications,inferred
AVIATION LABOUR GROUP PTY LTD - BRISBANE AIRPORT,Aviation & Aerospace,original
AVK AUSTRALIA HOLDING PTY LTD,Manufacturing & Industrial,inferred
AVNET ELECTRONICS MARKETING (AUSTRALIA) PTY LTD,Marketing & Advertising,original
Avocado Consulting Pty Ltd,"Consulting, Accounting & Professional Services",original
AVOPILING MANAGEMENT (NSW) PTY LTD,Engineering & Construction,inferred
AW Signs Pty Ltd,Manufacturing & Industrial,inferred
AWARE SERVICES PTY LTD,Unknown / To Check,unresolved
AWN Holdings Limited,"Agriculture, Food & Beverage",inferred
Axe Group Pty Limited,Information Technology & Software,inferred
AXICOM ADMINISTRATION PTY LTD,Telecommunications,inferred
Axima Pty Ltd,Unknown / To Check,unresolved
AZURE CAPITAL PTY LTD,Banking & Financial Services,original
B. Braun Australia Pty Limited,"Healthcare, Medical & Pharmaceutical",inferred
B.M.D. CONSTRUCTIONS PTY. LIMITED,Engineering & Construction,inferred
Babcock Pty Ltd,Defence & Aerospace,inferred
BACARDI-MARTINI AUSTRALIA PTY LTD,"Agriculture, Food & Beverage",inferred
Bacchus Marsh Grammar,Insurance,original
BackOffice Associates Australia Pty Ltd,Information Technology & Software,inferred
BACOVA HOLDINGS PTY LTD,Unknown / To Check,unresolved
Baden Powell College,Education - Schools & Training,original
BAE SYSTEMS AUSTRALIA LIMITED,Information Technology & Software,original
BAIMBRIDGE COLLEGE,Education - Schools & Training,original
BAIN CAPITAL PRIVATE EQUITY (AUSTRALIA) PTY LIMITED,Banking & Financial Services,original
Bain International Inc,"Consulting, Accounting & Professional Services",inferred
BAIRNSDALE REGIONAL HEALTH SERVICE,"Healthcare, Medical & Pharmaceutical",original
BAIRNSDALE SECONDARY COLLEGE,Education - Schools & Training,original
Baker & McKenzie,Legal Services,inferred
Baker Hughes Australia Pty Limited,"Mining, Resources & Energy",inferred
Baker Motors Pty Ltd,Automotive,inferred
BALANCE INTERNET PTY LTD,Information Technology & Software,inferred
BALDIVIS VETERINARY HOSPITAL PTY LTD,"Healthcare, Medical & Pharmaceutical",original
BALLARAT AND CLARENDON COLLEGE,Education - Schools & Training,original
BALLARAT SPECIALIST SCHOOL,Education - Schools & Training,original
BALMAIN NB CORPORATION LIMITED,Banking & Financial Services,inferred
Balmain Public School,Education - Schools & Training,original
BALWYN HIGH SCHOOL,Education - Schools & Training,original
BAM INTERNATIONAL AUSTRALIA PTY LTD,Engineering & Construction,inferred
BANARANG ABORIGINAL CORPORATION,"Religious, Charitable & Non-profit",inferred
BANK OF CHINA LIMITED,Banking & Financial Services,original
"BANK OF COMMUNICATIONS CO., LTD",Banking & Financial Services,original
Bankstown District Sports Club LTD,"Hospitality, Travel & Tourism",inferred
Bannisters Port Stephens Pty Ltd,Transport & Logistics,original
BANYULE CITY COUNCIL,Government & Public Sector,original
Baosteel Resources Australia Pty Ltd,"Mining, Resources & Energy",original
Baptcare Limited,"Aged Care, Disability & Social Services",inferred
BAPTISTCARE WA LIMITED,"Aged Care, Disability & Social Services",inferred
Barhead Solutions Australia Pty Ltd,Information Technology & Software,inferred
Baringa Partners LLP,"Consulting, Accounting & Professional Services",inferred
Baringa Special School,Education - Schools & Training,original
BARMINCO LIMITED,"Mining, Resources & Energy",inferred
BARNARDOS AUSTRALIA,"Religious, Charitable & Non-profit",inferred
BARRENJOEY SERVICES PTY LIMITED,Banking & Financial Services,inferred
BARTO GOLD MINING PTY LTD,"Mining, Resources & Energy",original
Barton Motors Pty Ltd,Automotive,inferred
BARWON HEALTH,"Healthcare, Medical & Pharmaceutical",original
Basanti Pty Ltd,Unknown / To Check,unresolved
Base Imaging Group,"Healthcare, Medical & Pharmaceutical",inferred
Base Resources Limited,"Mining, Resources & Energy",original
BASF AUSTRALIA LTD,Manufacturing & Industrial,inferred
BASS COAST HEALTH,"Healthcare, Medical & Pharmaceutical",original
BASWARE PTY LTD,Information Technology & Software,inferred
BAT SOUTH PTY LTD,Consumer Goods & Retail,inferred
Bates Smart Architects Pty Ltd,Architecture & Design,inferred
BAUER FOUNDATIONS AUSTRALIA PTY LTD,Engineering & Construction,inferred
BAXTER HEALTHCARE PTY LTD,"Healthcare, Medical & Pharmaceutical",original
Bayer Australia Ltd,"Healthcare, Medical & Pharmaceutical",inferred
BAYSIDE CITY COUNCIL,Government & Public Sector,original
BCS AIRPORT SYSTEMS PTY LTD,Information Technology & Software,original
BDO ADMINISTRATION PTY LTD,"Consulting, Accounting & Professional Services",inferred
BE Campbell Services Pty Ltd,"Agriculture, Food & Beverage",inferred
BE-RENDSEN FLUID POWER PTY LTD,"Mining, Resources & Energy",original
